Year,Growth Rate,GDP in trillions,Industrial Employment in Millions,Industrial Employment % of Pop,Change in Industrial Employment YoY,Population in Millions,Pop Growth Rate,Fertility Rate,Workforce in Millions,Labor Participation Rate %,Workforce Growth Rate,Workforce Growth Rate 5 year rolling average,Real Growth Rate
1994,4.0,10.35,17.01,6.46,1.6,263.13,1.23,2.0,130.56,66.4,0.89,1.04,3.11
1995,2.7,10.63,17.247,6.48,1.39,266.28,1.2,1.98,131.95,66.5,1.06,1.0,1.64
1996,3.8,11.03,17.226,6.39,-0.12,269.39,1.17,1.98,133.7,66.7,1.32,1.14,2.48
1997,4.4,11.52,17.387,6.38,0.93,272.65,1.21,1.97,136.21,67.1,1.88,1.18,2.52
1998,4.5,12.04,17.608,6.38,1.27,275.85,1.17,2.0,137.46,67.0,0.91,1.21,3.59
1999,4.8,12.61,17.295,6.2,-1.78,279.04,1.16,2.01,139.33,67.1,1.36,1.31,3.44
2000,4.1,13.13,17.296,6.13,0.01,282.16,1.12,2.06,142.59,67.1,2.34,1.56,1.76
2001,1.0,13.26,16.515,5.8,-4.52,284.97,1.0,2.03,143.36,66.7,0.54,1.41,0.46
2002,1.7,13.49,15.298,5.32,-7.37,287.63,0.93,2.02,144.81,66.6,1.01,1.23,0.69
2003,2.9,13.88,14.493,5.0,-5.26,290.11,0.86,2.05,147.06,66.5,1.55,1.36,1.35
2004,3.8,14.41,14.332,4.89,-1.11,292.81,0.93,2.05,147.46,66.1,0.27,1.14,3.53
2005,3.5,14.91,14.227,4.81,-0.73,295.52,0.93,2.06,149.24,66.1,1.21,0.92,2.29
2006,2.9,15.34,14.213,4.76,-0.1,298.38,0.97,2.11,151.35,66.2,1.42,1.09,1.48
2007,1.9,15.63,13.911,4.62,-2.12,301.23,0.96,2.12,153.04,66.0,1.11,1.11,0.79
2008,-0.1,15.61,13.504000000000001,4.44,-2.93,304.09,0.95,2.07,154.31,66.1,0.83,0.97,-0.93
2009,-2.5,15.21,11.725999999999999,3.82,-13.17,306.77,0.88,2.0,154.72,65.7,0.26,0.97,-2.76
2010,2.6,15.6,11.545,3.73,-1.54,309.32,0.83,1.93,153.62,64.6,-0.71,0.58,3.31
2011,1.6,15.84,11.727,3.76,1.58,311.56,0.72,1.89,153.35,64.0,-0.18,0.26,1.78
2012,2.2,16.2,11.936,3.8,1.78,313.83,0.73,1.88,155.08,63.8,1.13,0.27,1.07
2013,1.8,16.5,12.004000000000001,3.8,0.57,315.99,0.69,1.86,155.75,63.4,0.43,0.19,1.37
2014,2.5,16.91,12.17,3.82,1.38,318.3,0.73,1.86,155.71,62.8,-0.03,0.13,2.53
2015,3.1,17.43,12.334000000000001,3.85,1.35,320.64,0.74,1.84,157.06,62.7,0.87,0.45,2.23
2016,1.7,17.73,12.35,3.82,0.13,322.94,0.72,1.82,158.97,62.7,1.21,0.72,0.49
2017,2.3,18.14,12.418,3.82,0.55,324.99,0.63,1.77,160.22,62.8,0.79,0.65,1.51
2018,3.0,18.69,12.686,3.88,2.16,326.69,0.52,1.73,162.2,63.0,1.24,0.82,1.76
2019,2.2,19.09,12.822000000000001,3.91,1.07,328.24,0.47,1.7,163.05,63.0,0.52,0.93,1.68
2020,-4.27,18.27,11.999,3.64,-6.42,329.88,0.5,1.64,159.8,61.4,-1.99,0.35,-2.28
